DEB [20220215-10:36:08.428] thr=1   paramiko.transport: starting thread (client mode): 0x435e4048
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: server compress: zlib, none
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: client lang: <none>
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: server lang: <none>
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: kex follows: False
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: Compression: none
DEB [20220215-10:42:20.640] thr=11  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:42:20.681] thr=11  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:42:20.681] thr=11  paramiko.transport: Switch to new keys ...
DEB [20220215-10:42:20.682] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:42:20.683] thr=11  paramiko.transport: userauth is OK
INF [20220215-10:42:20.684] thr=11  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:42:30.750] thr=12  paramiko.transport: starting thread (client mode): 0x44643b38
DEB [20220215-10:42:30.750] thr=12  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:42:30.758] thr=12  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:42:30.758] thr=12  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:30.760] thr=12  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: client compress: zlib, none
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: server compress: zlib, none
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: client lang: <none>
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: server lang: <none>
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: kex follows: False
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:42:30.761] thr=12  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:42:30.762] thr=12  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:42:30.762] thr=12  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:42:30.762] thr=12  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:42:30.762] thr=12  paramiko.transport: Compression: none
DEB [20220215-10:42:30.762] thr=12  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:42:30.806] thr=12  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:42:30.806] thr=12  paramiko.transport: Switch to new keys ...
DEB [20220215-10:42:30.807] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:42:30.808] thr=12  paramiko.transport: userauth is OK
INF [20220215-10:42:30.809] thr=12  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:42:37.042] thr=13  paramiko.transport: starting thread (client mode): 0x44643e80
DEB [20220215-10:42:37.043] thr=13  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:42:37.062] thr=13  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:42:37.062] thr=13  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: client compress: zlib, none
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: server compress: zlib, none
DEB [20220215-10:42:37.064] thr=13  paramiko.transport: client lang: <none>
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: server lang: <none>
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: kex follows: False
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: Compression: none
DEB [20220215-10:42:37.065] thr=13  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:42:37.106] thr=13  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:42:37.107] thr=13  paramiko.transport: Switch to new keys ...
DEB [20220215-10:42:37.107] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:42:37.109] thr=13  paramiko.transport: userauth is OK
INF [20220215-10:42:37.111] thr=13  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:43:27.120] thr=14  paramiko.transport: starting thread (client mode): 0x44662588
DEB [20220215-10:43:27.121] thr=14  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:43:27.126] thr=14  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:43:27.126] thr=14  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:43:27.127] thr=14  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:43:27.127] thr=14  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:43:27.127] thr=14  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:43:27.127] thr=14  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: client compress: zlib, none
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: server compress: zlib, none
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: client lang: <none>
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: server lang: <none>
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: kex follows: False
DEB [20220215-10:43:27.128] thr=14  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: Compression: none
DEB [20220215-10:43:27.129] thr=14  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:43:27.169] thr=14  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:43:27.170] thr=14  paramiko.transport: Switch to new keys ...
DEB [20220215-10:43:27.170] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:43:27.171] thr=14  paramiko.transport: userauth is OK
INF [20220215-10:43:27.172] thr=14  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:43:32.291] thr=15  paramiko.transport: starting thread (client mode): 0x43628080
DEB [20220215-10:43:32.291] thr=15  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:43:32.296] thr=15  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:43:32.296] thr=15  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:43:32.297] thr=15  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:43:32.297] thr=15  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: client compress: zlib, none
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: server compress: zlib, none
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: client lang: <none>
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: server lang: <none>
DEB [20220215-10:43:32.298] thr=15  paramiko.transport: kex follows: False
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: Compression: none
DEB [20220215-10:43:32.299] thr=15  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:43:32.339] thr=15  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:43:32.340] thr=15  paramiko.transport: Switch to new keys ...
DEB [20220215-10:43:32.340] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:43:32.341] thr=15  paramiko.transport: userauth is OK
INF [20220215-10:43:32.341] thr=15  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:43:37.437] thr=16  paramiko.transport: starting thread (client mode): 0x4469ce80
DEB [20220215-10:43:37.438] thr=16  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:43:37.442] thr=16  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:43:37.442] thr=16  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:43:37.443] thr=16  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: client compress: zlib, none
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: server compress: zlib, none
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: client lang: <none>
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: server lang: <none>
DEB [20220215-10:43:37.444] thr=16  paramiko.transport: kex follows: False
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: Compression: none
DEB [20220215-10:43:37.445] thr=16  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:43:37.485] thr=16  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:43:37.486] thr=16  paramiko.transport: Switch to new keys ...
DEB [20220215-10:43:37.486] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:43:37.487] thr=16  paramiko.transport: userauth is OK
INF [20220215-10:43:37.487] thr=16  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:43:59.630] thr=17  paramiko.transport: starting thread (client mode): 0x44668c88
DEB [20220215-10:43:59.630] thr=17  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:43:59.637] thr=17  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:43:59.637] thr=17  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:59.639] thr=17  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: client compress: zlib, none
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: server compress: zlib, none
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: client lang: <none>
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: server lang: <none>
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: kex follows: False
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:43:59.640] thr=17  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:43:59.641] thr=17  paramiko.transport: Compression: none
DEB [20220215-10:43:59.641] thr=17  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:43:59.683] thr=17  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:43:59.684] thr=17  paramiko.transport: Switch to new keys ...
DEB [20220215-10:43:59.685] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:43:59.686] thr=17  paramiko.transport: userauth is OK
INF [20220215-10:43:59.688] thr=17  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:45:26.557] thr=18  paramiko.transport: starting thread (client mode): 0x446431d0
DEB [20220215-10:45:26.557] thr=18  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:45:26.558] thr=18  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:45:26.558] thr=18  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:45:26.559] thr=18  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:45:26.559] thr=18  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:45:26.559] thr=18  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:45:26.559] thr=18  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:45:26.559] thr=18  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: client compress: zlib, none
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: server compress: zlib, none
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: client lang: <none>
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: server lang: <none>
DEB [20220215-10:45:26.560] thr=18  paramiko.transport: kex follows: False
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:45:26.561] thr=18  paramiko.transport: Compression: none
DEB [20220215-10:45:26.562] thr=18  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:45:26.650] thr=18  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:45:26.651] thr=18  paramiko.transport: Switch to new keys ...
DEB [20220215-10:45:26.652] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:45:26.654] thr=18  paramiko.transport: userauth is OK
INF [20220215-10:45:26.658] thr=18  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:45:54.525] thr=19  paramiko.transport: starting thread (client mode): 0x44643a20
DEB [20220215-10:45:54.525] thr=19  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:45:54.529] thr=19  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:45:54.529] thr=19  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:45:54.530] thr=19  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:45:54.530] thr=19  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:45:54.530] thr=19  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:45:54.530] thr=19  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: client compress: zlib, none
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: server compress: zlib, none
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: client lang: <none>
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: server lang: <none>
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: kex follows: False
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:45:54.531] thr=19  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:45:54.532] thr=19  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:45:54.532] thr=19  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:45:54.532] thr=19  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:45:54.532] thr=19  paramiko.transport: Compression: none
DEB [20220215-10:45:54.532] thr=19  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:45:54.571] thr=19  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:45:54.572] thr=19  paramiko.transport: Switch to new keys ...
DEB [20220215-10:45:54.572] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:45:54.573] thr=19  paramiko.transport: userauth is OK
INF [20220215-10:45:54.574] thr=19  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:47:22.945] thr=20  paramiko.transport: starting thread (client mode): 0x446780f0
DEB [20220215-10:47:22.945] thr=20  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
ERR [20220215-10:47:22.947] thr=20  paramiko.transport: Exception (client): Error reading SSH protocol banner[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
ERR [20220215-10:47:22.951] thr=20  paramiko.transport: Traceback (most recent call last):
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2270, in _check_banner
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:     buf = self.packetizer.readline(timeout)
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\packet.py", line 380, in readline
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:     buf += self._read_timeout(timeout)
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\packet.py", line 607, in _read_timeout
ERR [20220215-10:47:22.952] thr=20  paramiko.transport:     x = self.__socket.recv(128)
ERR [20220215-10:47:22.952] thr=20  paramiko.transport: ConnectionResetError: [WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
ERR [20220215-10:47:22.952] thr=20  paramiko.transport: 
ERR [20220215-10:47:22.952] thr=20  paramiko.transport: During handling of the above exception, another exception occurred:
ERR [20220215-10:47:22.952] thr=20  paramiko.transport: 
ERR [20220215-10:47:22.952] thr=20  paramiko.transport: Traceback (most recent call last):
ERR [20220215-10:47:22.953] thr=20  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2093, in run
ERR [20220215-10:47:22.953] thr=20  paramiko.transport:     self._check_banner()
ERR [20220215-10:47:22.953] thr=20  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2275, in _check_banner
ERR [20220215-10:47:22.953] thr=20  paramiko.transport:     "Error reading SSH protocol banner" + str(e)
ERR [20220215-10:47:22.953] thr=20  paramiko.transport: paramiko.ssh_exception.SSHException: Error reading SSH protocol banner[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
ERR [20220215-10:47:22.953] thr=20  paramiko.transport: 
DEB [20220215-10:47:32.059] thr=21  paramiko.transport: starting thread (client mode): 0x44692438
DEB [20220215-10:47:32.059] thr=21  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:47:32.061] thr=21  paramiko.transport: Banner: 220 Hello, I'm freeFTPd 1.0
DEB [20220215-10:47:32.061] thr=21  paramiko.transport: Banner: 500 Command not understood
ERR [20220215-10:47:34.080] thr=21  paramiko.transport: Exception (client): Error reading SSH protocol banner
ERR [20220215-10:47:34.081] thr=21  paramiko.transport: Traceback (most recent call last):
ERR [20220215-10:47:34.081] thr=21  paramiko.transport:   File "C:\Users\ngcc\.conda\envs\cub\lib\site-packages\paramiko\transport.py", line 2270, in _check_banner
